variable_name,wind_speed,wind_speed,roughness_length
height,10,50,0
2001-01-01,7.38,10.83,0.15
2001-01-02,5.48,8.4,0.15
2001-01-03,4.64,7.33,0.15
2001-01-04,2.77,5.3,0.15
2001-01-05,1.92,3.04,0.15
2001-01-06,5.0,8.23,0.15
2001-01-07,6.62,9.77,0.15
2001-01-08,3.23,6.3,0.15
2001-01-09,3.97,6.91,0.15
2001-01-10,6.18,8.7,0.15
2001-01-11,8.24,11.74,0.15
2001-01-12,6.2,9.09,0.15
2001-01-13,3.35,5.77,0.15
2001-01-14,3.92,7.59,0.15
2001-01-15,3.04,5.63,0.15
2001-01-16,2.63,4.66,0.15
2001-01-17,4.89,7.84,0.15
2001-01-18,2.55,4.54,0.15
2001-01-19,3.03,5.39,0.15
2001-01-20,7.61,10.75,0.15
2001-01-21,4.26,6.89,0.15
2001-01-22,8.93,12.41,0.15
2001-01-23,9.62,13.36,0.15
2001-01-24,6.69,9.45,0.15
2001-01-25,7.55,10.45,0.15
2001-01-26,5.7,8.11,0.15
2001-01-27,3.76,6.29,0.15
2001-01-28,2.65,4.02,0.15
2001-01-29,4.48,6.85,0.15
2001-01-30,3.88,6.66,0.15
2001-01-31,2.86,4.34,0.15
2001-02-01,5.05,7.66,0.15
2001-02-02,4.9,7.19,0.15
2001-02-03,3.24,5.17,0.15
2001-02-04,2.94,4.37,0.15
2001-02-05,3.62,5.7,0.15
2001-02-06,12.02,16.29,0.15
2001-02-07,4.32,6.22,0.15
2001-02-08,3.82,5.72,0.15
2001-02-09,6.09,8.07,0.15
2001-02-10,8.67,12.2,0.15
2001-02-11,5.73,8.01,0.15
2001-02-12,3.16,4.85,0.15
2001-02-13,4.1,6.61,0.15
2001-02-14,5.52,7.82,0.15
2001-02-15,2.98,5.05,0.15
2001-02-16,2.0,2.93,0.15
2001-02-17,3.14,5.14,0.15
2001-02-18,4.41,7.43,0.15
2001-02-19,2.95,4.7,0.15
2001-02-20,3.25,5.45,0.15
2001-02-21,4.08,5.81,0.15
2001-02-22,5.82,8.23,0.15
2001-02-23,5.57,7.75,0.15
2001-02-24,3.43,5.4,0.15
2001-02-25,4.52,6.46,0.15
2001-02-26,8.1,10.77,0.15
2001-02-27,11.25,14.92,0.15
2001-02-28,5.06,7.41,0.15
2001-03-01,2.0,2.85,0.15
2001-03-02,2.56,3.95,0.15
2001-03-03,2.21,3.46,0.15
2001-03-04,4.65,7.21,0.15
2001-03-05,6.31,9.27,0.15
2001-03-06,11.55,15.51,0.15
2001-03-07,8.08,11.37,0.15
2001-03-08,7.14,10.0,0.15
2001-03-09,5.32,7.9,0.15
2001-03-10,5.71,8.45,0.15
2001-03-11,4.62,7.09,0.15
2001-03-12,5.69,7.98,0.15
2001-03-13,4.11,5.87,0.15
2001-03-14,2.02,3.14,0.15
2001-03-15,4.82,6.33,0.15
2001-03-16,8.16,10.59,0.15
2001-03-17,7.93,10.59,0.15
2001-03-18,5.29,7.77,0.15
2001-03-19,6.02,8.66,0.15
2001-03-20,10.38,13.8,0.15
2001-03-21,5.69,7.59,0.15
2001-03-22,2.7,4.55,0.15
2001-03-23,2.28,3.96,0.15
2001-03-24,4.48,6.38,0.15
2001-03-25,4.57,6.43,0.15
2001-03-26,7.14,9.69,0.15
2001-03-27,2.45,3.34,0.15
2001-03-28,4.17,6.29,0.15
2001-03-29,6.19,8.66,0.15
2001-03-30,5.75,8.37,0.15
2001-03-31,6.4,8.91,0.15
2001-04-01,6.2,8.27,0.15
2001-04-02,9.72,13.24,0.15
2001-04-03,3.85,5.77,0.15
2001-04-04,5.59,8.16,0.15
2001-04-05,9.55,13.02,0.15
2001-04-06,6.99,9.53,0.15
2001-04-07,6.12,8.84,0.15
2001-04-08,4.66,7.13,0.15
2001-04-09,8.34,11.54,0.15
2001-04-10,6.91,9.41,0.15
2001-04-11,1.73,2.55,0.15
2001-04-12,2.66,3.54,0.15
2001-04-13,1.91,2.87,0.15
2001-04-14,5.9,7.99,0.15
2001-04-15,6.53,8.85,0.15
2001-04-16,3.66,5.3,0.15
2001-04-17,5.85,7.99,0.15
